Afghanistan,37.0584
Africa,23.1247
Albania,9.8408
Algeria,18.4916
American Samoa,22.3589
Andorra,7.5415
Angola,44.5279
Anguilla,12.3741
Antigua and Barbuda,9.3459
Argentina,7.3367
Armenia,0.8564
Aruba,3.5233
Asia,14.9959
Asia (excl. China and India),10.8448
Australia,10.2940
Austria,2.7420
Azerbaijan,8.9511
Bahamas,4.9578
Bahrain,44.1915
Bangladesh,25.0793
Barbados,10.1697
Belarus,2.4948
Belgium,1.8340
Belize,18.0060
Benin,32.1966
Bhutan,29.8745
Bolivia,14.9219
Bosnia and Herzegovina,5.0176
Botswana,28.7842
Brazil,11.4398
Brunei,18.5844
Bulgaria,0.6348
Burkina Faso,46.9553
Burundi,44.4092
Cambodia,29.6240
Cameroon,36.1597
Canada,7.3830
Cape Verde,23.4757
Central African Republic,17.5576
Chad,31.3996
Chile,8.9826
China,21.7439
Colombia,10.1190
Comoros,21.5596
Congo,18.1014
Costa Rica,14.8371
Cote d'Ivoire,22.1949
Croatia,4.1067
Cuba,1.9225
Cyprus,14.3091
Czechia,3.5374
Democratic Republic of Congo,37.6962
Denmark,3.4353
Djibouti,13.7826
Dominica,2.4371
Dominican Republic,14.4808
East Timor,21.7126
Ecuador,14.3136
Egypt,12.0504
El Salvador,9.9326
Equatorial Guinea,41.3944
Eritrea,19.7094
Estonia,-0.9269
Eswatini,14.5470
Ethiopia,27.4651
Europe,2.6452
Europe (excl. Russia),3.0053
Falkland Islands,11.4253
Faroe Islands,8.7152
Fiji,12.4804
Finland,7.2387
France,4.8534
French Guiana,23.3090
Gabon,33.5637
Gambia,34.8108
Georgia,2.8864
Germany,2.4129
Ghana,29.1856
Greece,5.1755
Greenland,3.5972
Grenada,9.7748
Guadeloupe,3.1879
Guatemala,21.8954
Guinea,26.9084
Guinea-Bissau,33.5956
Guyana,2.2360
Haiti,30.1293
Honduras,22.2819
Hong Kong,4.4250
Hungary,2.6938
Iceland,5.8595
India,20.3603
Indonesia,10.1816
Iran,14.1355
Iraq,15.6233
Ireland,7.2110
Israel,10.3814
Italy,3.2241
Jamaica,6.7017
Japan,2.0718
Jordan,25.3435
Kazakhstan,5.1857
Kenya,22.0824
Kuwait,7.8202
Kyrgyzstan,6.7226
Laos,31.9706
Latvia,-1.1109
Lebanon,8.6306
Lesotho,24.5408
Liberia,21.3465
Libya,13.7432
Liechtenstein,5.2592
Lithuania,-0.1115
Luxembourg,8.4818
Madagascar,39.6066
Malawi,35.2502
Malaysia,15.1847
Mali,52.4607
Malta,2.8731
Martinique,3.5761
Mauritania,25.4903
Mauritius,10.0076
Mayotte,0.5737
Mexico,12.0096
Moldova,0.1616
Mongolia,10.9942
Montserrat,-1.8139
Morocco,11.7231
Mozambique,46.5780
Myanmar,15.2589
Namibia,29.0576
Nepal,38.6225
Netherlands,5.0019
Netherlands Antilles,2.7022
New Caledonia,12.8520
New Zealand,5.4825
Nicaragua,13.4460
Niger,25.4785
Nigeria,33.9883
North America,8.3426
North Korea,7.0747
North Macedonia,5.2320
Norway,5.9471
Oceania,9.7327
Oman,19.4070
Pakistan,21.9369
Panama,21.1769
Papua New Guinea,12.5873
Paraguay,21.2506
Peru,8.4859
Philippines,16.7551
Poland,1.8245
Portugal,7.0834
Puerto Rico,6.1153
Qatar,64.9288
Reunion,10.9675
Romania,2.5392
Russia,0.6553
Rwanda,74.8505
Saint Kitts and Nevis,8.3845
Saint Lucia,8.1612
Saint Pierre and Miquelon,-0.0944
Saint Vincent and the Grenadines,7.3013
Samoa,6.2471
Sao Tome and Principe,30.1298
Saudi Arabia,18.3533
Senegal,21.9194
Serbia and Montenegro,3.6916
Sierra Leone,19.0047
Singapore,3.8578
Slovakia,2.4448
Slovenia,4.8573
Solomon Islands,26.3135
Somalia,19.0847
South Africa,12.8641
South America,10.5503
South America (excl. Brazil),9.3784
South Korea,5.8238
Spain,3.8771
Sri Lanka,3.4093
Sudan,24.3738
Suriname,8.3615
Svalbard and Jan Mayen,15.2957
Sweden,3.6263
Switzerland,4.1803
Syria,19.8634
Taiwan,4.8527
Tajikistan,8.6000
Tanzania,27.3565
Thailand,12.2199
Togo,25.5797
Tonga,6.7212
Trinidad and Tobago,19.5724
Tunisia,10.5017
Turkey,10.3107
Turkmenistan,13.1102
Turks and Caicos Islands,46.1265
Uganda,35.9631
Ukraine,0.6459
United Arab Emirates,31.8912
United Kingdom,2.1967
United States,8.0507
United States Virgin Islands,3.1200
Uruguay,3.5612
Uzbekistan,8.9287
Vanuatu,36.8196
Venezuela,11.2728
Vietnam,5.8426
Western Sahara,4.6473
World,9.3673
Yemen,50.8563
Zambia,19.0452
Zimbabwe,14.8109